Artikel	Beskrivning	"Vikt netto"	Plockplats	Plocksaldo	Kundorder	Diff	Buffertsaldo	"Saldo automation"	"Automation diff"	"Saldo kran"	"Kran diff"	"Saldo autoplock"	"Autoplock diff"	Utbeställt	Inlagring	Ankommande	"Pågående plock"	"För och under plock"	Saldo	Diff2	Externt	Lager	Bolag	Batchartikel	Klassificering	Robot
1018258	"FLÄKREM TILL KO VID KALVNING"	"0,41"		0	0	0	0	52	52	0	0	52	52	0	0	0	0	0	52	52	0	404	GG	N	H	Y
1018261	"FEBERTERMOMETER  1 MINUT"	"0,04"		0	10	-10	0	105	95	0	-10	105	95	0	0	0	0	0	105	95	0	404	GG	N	H	Y
1018264	"UNDERSÖKNINGSGEL 1 LITER"	"1,05"		0	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	404	GG	N	H	Y
1018290	"KLÖVFRÄSSKIVA 115MM RASPMODELL"	"0,24"		0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	1	1	0	404	GG	N	H	Y
1018292	"KLÖVFRÄSSKIVA 115MM"	"0,13"		0	0	0	0	6	6	0	0	6	6	0	0	5	0	0	6	6	0	404	GG	N	H	Y
1018325	"RYKTSKRAPA RUND"	"0,18"		0	20	-20	0	127	107	0	-20	127	107	0	0	160	0	0	127	107	0	404	GG	N	D	Y
1018333	"KLIPPSKÄR 13-4 FÅR"	"0,21"		0	6	-6	0	31	25	0	-6	31	25	0	0	0	0	0	31	25	0	404	GG	N	H	Y
1018365	"VOMMAGNET BOVIVET TILL KO"	"0,1"		0	2	-2	0	234	232	0	-2	234	232	0	0	80	0	0	234	232	0	404	GG	N	H	Y
1018394	"ANTISJÄLVMJÖLKARE FÖR KO"	"0,06"		0	0	0	0	0	0	0	0	0	0	0	0	210	0	0	0	0	0	404	GG	N	H	Y
1018397	"BOXLÅS B-S METALL M FJÄDER"	"0,26"		0	5	-5	0	71	66	0	-5	71	66	0	0	0	0	0	71	66	0	404	GG	N	H	Y
1018421	"KALVBAR MED NAPP 10L"	"0,68"		0	70	-70	219	219	149	219	149	0	-70	0	0	0	0	0	219	149	0	404	GG	N	H	N
1018426	"NAPPFLASKA KALV 2L RÖD/VIT"	"0,2"		0	13	-13	0	102	89	0	-13	102	89	0	0	200	0	0	102	89	0	404	GG	N	H	Y
1018441	"LÅSBLECK RAKT BS-BOXLÅS"	"0,17"		0	0	0	0	10	10	0	0	10	10	0	0	0	0	0	10	10	0	404	GG	N	H	Y
1018444	"LÅSBLECK VINKLAT BS-BOXLÅS"	"0,18"		0	0	0	0	25	25	0	0	25	25	0	0	0	0	0	25	25	0	404	GG	N	H	Y
1018462	"REKTALHANDSKE 90CM 100ST FRP"	"0,81"		0	1	-1	0	1	0	0	-1	1	0	0	0	0	0	0	1	0	0	404	GG	N	H	Y
1018469	"RESERVVENTIL LAMM/KALVBAR 2 ST"	"0,04"		0	0	0	0	52	52	0	0	52	52	0	0	0	0	0	52	52	0	404	GG	N	H	Y
1018474	"MJÖLKARFÖRKLÄDE 80X120CM BLÅTT"	"0,45"		0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	1	1	0	404	GG	N	H	Y
1018482	"VARNINGSSKYLT LÖSGÅENDE DJUR"	"0,03"		0	0	0	0	18	18	0	0	18	18	0	0	0	0	0	18	18	0	404	GG	N	H	Y
1018485	"FÖRBUDSSKYLT PRIVAT OMRÅDE"	"0,03"		0	3	-3	0	13	10	0	-3	13	10	0	0	10	0	0	13	10	0	404	GG	N	H	Y
1018491	"FÖRBUDSSKYLT OBEHÖRIGA EJ"	"0,03"		0	0	0	0	5	5	0	0	5	5	0	0	0	0	0	5	5	0	404	GG	N	H	Y
1018493	"VARNINGSSKYLT FÖR HUND"	"0,03"		0	0	0	0	7	7	0	0	7	7	0	0	0	0	0	7	7	0	404	GG	N	H	Y
1018494	"VARNINGSSKYLT TJUR"	"0,03"		0	0	0	0	30	30	0	0	30	30	0	0	40	0	0	30	30	0	404	GG	N	H	Y
1018521	"NOSRING BREMSO MÄSSING 57MM"	"0,22"		0	0	0	0	4	4	0	0	4	4	0	0	0	0	0	4	4	0	404	GG	N	H	Y
1018529	"FÄSTBESLAG TILL LAMM KALVBAR"	"0,23"		0	5	-5	0	91	86	0	-5	91	86	0	0	0	0	0	91	86	0	404	GG	N	H	Y
1018550	"VATTENFLOTTÖR AUTOTANK 1/2"""	"0,6"		0	2	-2	0	20	18	0	-2	20	18	0	0	0	0	0	20	18	0	404	GG	N	H	Y
1018569	"BITVENTIL R20 1/2"" 2ST"	"0,18"		0	0	0	0	77	77	0	0	77	77	0	0	0	0	0	77	77	0	404	GG	N	H	Y
