Pallid	Status	Ordernr	Yta	Kund	Kund	Antal	Artikel	Beskrivning	Packklass	Ändrad	Användare	Kö	Prioritet	Lagerplats	Zon	Bolag	Lager	Batch	Sändningsnr	Utgångsdatum	"Pågående Plock"	"Plockplats Diff"	SSCC	Avgång	Krangång
718076	30					44	200622529	"FALU RÖDFÄRG LJUSRÖD 10L"	0	"2026-03-16 16:49:55"	JOHA10	2	5	LC30036	Y	MG	JKP				0	-7	273500916307180761		
643605	30					44	200296272	"VÄGGFÄRG JOTAPROFF PRIMA AIR NY VIT-BAS 9L"	0	"2026-03-16 16:28:01"	"NT SERVICE\SQLSERVERAGENT"	2	5	LC18023	Y	MG	JKP				0	0	273500916306436050		
712316	30	324078	UTL205/UTL206/UTL207/UTL208/UTL209/UTL210/UTL211/UTL212	192130	"Hallbergs Färg AB"	40	200002113	"VÄVLIM HERNIA PVP VARIANT 15L"		"2026-03-17 06:38:12"	OrderGenerator	3	5	LC17033	Y	MG	JKP		MG-JKP-260317-1756128-0	2027-03-04	0	7	273500916307123164		
717833	30	305697	UTL205/UTL206/UTL207/UTL208/UTL209/UTL210/UTL211/UTL212	192130	"Hallbergs Färg AB"	44	200273486	"TÄCKFÄRG DEMIDEKK INFINITY BAS C 9L"	0	"2026-03-17 06:38:11"	OrderGenerator	3	5	LC15014	Y	MG	JKP		MG-JKP-260317-1756128-0		0	8	273500916307178331		
680375	30	305697	UTL205/UTL206/UTL207/UTL208/UTL209/UTL210/UTL211/UTL212	192130	"Hallbergs Färg AB"	44	200779179	"TÄCKFÄRG DEMIDEKK CLEANTECH A-BAS 9L"	0	"2026-03-17 06:38:11"	OrderGenerator	3	5	LC14036	Y	MG	JKP		MG-JKP-260317-1756128-0		0	1	273500916306803753		
676602	30	305697	UTL205/UTL206/UTL207/UTL208/UTL209/UTL210/UTL211/UTL212	192130	"Hallbergs Färg AB"	44	200779192	"TÄCKFÄRG DEMIDEKK CLEANTECH C-BAS 9L"	0	"2026-03-17 06:38:11"	OrderGenerator	3	5	LC14024	Y	MG	JKP		MG-JKP-260317-1756128-0		0	-25	273500916306766027		
687183	30	305697	UTL205/UTL206/UTL207/UTL208/UTL209/UTL210/UTL211/UTL212	192130	"Hallbergs Färg AB"	44	200272215	"TÄCKFÄRG DEMIDEKK INFINITY BAS A 9L"	0	"2026-03-17 06:38:11"	OrderGenerator	3	5	LC10034	Y	MG	JKP		MG-JKP-260317-1756128-0		0	6	273500916306871837		
697071	30	305698	UTL218/UTL219/UTL220/UTL221/UTL222	192283	"Happy Homes Borås AB"	44	200919926	"TÄCKFÄRG DEMIDEKK CLEANTECH KLASSISK VIT-BAS 9L"	0	"2026-03-17 06:38:11"	OrderGenerator	3	5	LB50016	Y	MG	JKP		MG-JKP-260317-1756793-0		0	14	273500916306970714		
631648	30					44	700338421	"IS&SNÖSMÄLTNINGSMEDEL ISNIX -40°C 12L"		"2026-03-17 06:36:58"	ANTO87	2	5	LB49016	Y	MG	JKP				0	-1	273500916306316482		
703326	30					44	700157266	"SPACKEL ORIGIN VÄGG&TAK MEDIUM NORDSJÖ INOMHUS 10L"		"2026-03-16 14:44:01"	"NT SERVICE\SQLSERVERAGENT"	2	5	LB48023	Y	MG	JKP			2027-01-13	0	1	273500916307033265		
